Title;Desc;Type;BodyPart;Equipment;Level;Rating;VideoLink
Decline reverse crunch;The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.;Strength;Abdominals;Other;Intermediate;9.3;https://www.youtube.com/watch?v=YcMj0EEadQo&pp=ygUWRGVjbGluZSByZXZlcnNlIGNydW5jaA%3D%3D
Plate Twist;The Plate Twist exercise is a core strengthening workout that targets the obliques. It involves sitting on the floor with the legs slightly bent and holding a weight plate or medicine ball in both hands. The torso is then twisted from side to side with the weight plate or medicine ball, engaging the oblique muscles. This exercise helps to improve balance, stability and overall core strength.;Strength;Abdominals;Other;Beginner;9.2;https://www.youtube.com/watch?v=vWZNWuLCS44&pp=ygULUGxhdGUgVHdpc3Q%3D
Weighted Crunches;"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.";Strength;Abdominals;Other;Intermediate;8.2;https://www.youtube.com/watch?v=cbwLMF7oJGI&pp=ygURV2VpZ2h0ZWQgQ3J1bmNoZXM%3D
Ab Roller;The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.;Strength;Abdominals;Other;Intermediate;8.9;https://www.youtube.com/watch?v=9ZCoAbI7uX0&pp=ygUJQWIgUm9sbGVy
Otis-Up;The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or вЂњsix-packвЂќ muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.;Strength;Abdominals;Other;Intermediate;8.9;https://www.youtube.com/watch?v=vjAjAERSkIk&pp=ygUHT3Rpcy1VcA%3D%3D
Captain's chair knee raise;The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.;Strength;Abdominals;Other;Intermediate;8.8;https://www.youtube.com/watch?v=7KDDZtaUaxw&pp=ygUaQ2FwdGFpbidzIGNoYWlyIGtuZWUgcmFpc2U%3D
Sledgehammer swing;The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.;Plyometrics;Abdominals;Other;Intermediate;8.6;https://www.youtube.com/watch?v=GX_EnqzsLgw&pp=ygUSU2xlZGdlaGFtbWVyIHN3aW5n
Decline bar press sit-up;The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.;Strength;Abdominals;Barbell;Intermediate;8.6;https://www.youtube.com/watch?v=K95OZFpJKuw&pp=ygUYRGVjbGluZSBiYXIgcHJlc3Mgc2l0LXVw
Pallof press;"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.";Strength;Abdominals;Other;Intermediate;8.5;https://www.youtube.com/watch?v=5_8d8vHgZvU&pp=ygUMUGFsbG9mIHByZXNz
Weighted Sit-Ups - With Bands;The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.;Strength;Abdominals;Other;Intermediate;8.5;https://www.youtube.com/watch?v=FQogbZX_JyY&pp=ygUdV2VpZ2h0ZWQgU2l0LVVwcyAtIFdpdGggQmFuZHM%3D
Standing cable low-to-high twist;The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.;Strength;Abdominals;Cable;Intermediate;8.4;https://www.youtube.com/watch?v=rHfjG2Oflz0&pp=ygUgU3RhbmRpbmcgY2FibGUgbG93LXRvLWhpZ2ggdHdpc3Q%3D
Single-arm high-cable side bend;The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.;Strength;Abdominals;Cable;Intermediate;8.0;https://www.youtube.com/watch?v=JSFj7Fzq2yE&pp=ygUfU2luZ2xlLWFybSBoaWdoLWNhYmxlIHNpZGUgYmVuZA%3D%3D
Kneeling cable oblique crunch;"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.";Strength;Abdominals;Cable;Intermediate;9.3;https://www.youtube.com/watch?v=tgusmyhJKgU&pp=ygUdS25lZWxpbmcgY2FibGUgb2JsaXF1ZSBjcnVuY2g%3D
Kneeling cable crunch;"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.";Strength;Abdominals;Cable;Intermediate;9.1;https://www.youtube.com/watch?v=AV5PmZJIrrw&pp=ygUVS25lZWxpbmcgY2FibGUgY3J1bmNo
Rope Crunch;"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.";Strength;Abdominals;Cable;Intermediate;9.0;https://www.youtube.com/shorts/ePSIfIgoZWo
Standing cable crunch;"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.";Strength;Abdominals;Cable;Intermediate;8.9;https://www.youtube.com/watch?v=vFV78ASgsak&pp=ygUVU3RhbmRpbmcgY2FibGUgY3J1bmNo
Bosu Ball Cable Crunch With Side Bends;The Bosu Ball Cable Crunch with Side Bends exercise consists of lying on a Bosu Ball with your feet on the floor. Then, take a cable attached to a mid-level pulley and place it around the back of your neck, crossing your arms over your chest. Next, crunch forward and to the side to work your obliques. The Bosu Ball adds an extra challenge by requiring you to engage your core muscles to maintain balance.;Strength;Abdominals;Cable;Beginner;8.6;https://www.youtube.com/watch?v=ghrP6z8spxo&pp=ygUmQm9zdSBCYWxsIENhYmxlIENydW5jaCBXaXRoIFNpZGUgQmVuZHM%3D
Standing Cable Wood Chop;The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.;Strength;Abdominals;Cable;Intermediate;8.6;https://www.youtube.com/watch?v=DoACGlPyQTI&pp=ygUYU3RhbmRpbmcgQ2FibGUgV29vZCBDaG9w
Cable reverse crunch;The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.;Strength;Abdominals;Cable;Beginner;8.2;https://www.youtube.com/watch?v=Ss3G7RnIjV4&pp=ygUUQ2FibGUgcmV2ZXJzZSBjcnVuY2g%3D
Cable Russian Twists;The Cable Russian Twists exercise is a core strength training exercise that primarily targets the abdominal muscles and obliques. It involves sitting on a bench with your torso angled back and a cable machine or resistance band attached to one side of your body. With both hands holding the cable, you twist your torso to the opposite side while maintaining a stable and engaged core. The exercise can be varied by increasing the weight resistance and adding more repetitions or sets for a more challenging workout.;Strength;Abdominals;Cable;Beginner;8.2;https://www.youtube.com/watch?v=4SqdOON5URQ&pp=ygUUQ2FibGUgUnVzc2lhbiBUd2lzdHM%3D
Pallof press with rotation;The Pallof press with rotation is a dynamic variation of the Pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley. It is intended to build abdominal strength and teach proper bracing. It can be performed for time or for reps in the core-focused portion of any workout.;Strength;Abdominals;Cable;Intermediate;8.2;https://www.youtube.com/watch?v=zoYwuVw3kkQ&pp=ygUaUGFsbG9mIHByZXNzIHdpdGggcm90YXRpb24%3D
Cable Seated Crunch;The Cable Seated Crunch is a core strengthening exercise that targets the rectus abdominis muscles. It is performed by sitting on a bench, holding onto a cable with both hands, and then curling the torso forward towards the knees while keeping the feet firmly planted on the ground. This exercise offers resistance through the cable, making it challenging to maintain control throughout the movement. It is suitable for individuals of all fitness levels and can be modified by adjusting the weight on the cable machine.;Strength;Abdominals;Cable;Beginner;8.2;https://www.youtube.com/watch?v=mkE_gNDQN8o&pp=ygUTQ2FibGUgU2VhdGVkIENydW5jaA%3D%3D
Cable Judo Flip;The Cable Judo Flip exercise involves grasping the handle of two cables attached to a cable machine and performing a throwing motion similar to that of a Judo throw. The movement involves a twisting motion and a push-pull action of the arms, engaging the core, back, shoulders, and arms. The exercise improves strength and stability, particularly in the anterior and posterior muscles of the upper body. It is recommended that this exercise be performed under supervision and with a weight appropriate to the individual's strength and skill level.;Strength;Abdominals;Cable;Beginner;7.9;https://www.youtube.com/watch?v=CF3aIsvzKUE&pp=ygUPQ2FibGUgSnVkbyBGbGlw
Ab Crunch Machine;The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines, the knees also curl up torward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, like 8-12 reps per set or higher, as part of the ab-focused portion of a workout.;Strength;Abdominals;Machine;Intermediate;8.2;https://www.youtube.com/watch?v=_O1xunCfYEM&pp=ygURQWIgQ3J1bmNoIE1hY2hpbmU%3D
Smith machine straight-legged hip raise;The Smith machine straight-legged hip raise is an exercise targeting the abdominal muscles. Because of the potential awkwardness of getting into position, it is usually performed for moderate to high reps, such as 8-12 reps per set or more. If your Smith machine has safety bars, set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling.;Strength;Abdominals;Machine;Intermediate;8.2;https://www.youtube.com/watch?v=eCDlRpeo73A&pp=ygUnU21pdGggbWFjaGluZSBzdHJhaWdodC1sZWdnZWQgaGlwIHJhaXNl
Elbow plank;The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.;Strength;Abdominals;Body Only;Intermediate;8.0;https://www.youtube.com/watch?v=qmw7-IFVZPo&pp=ygULRWxib3cgcGxhbms%3D
Bottoms Up;The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or вЂњsix-packвЂќ muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.;Strength;Abdominals;Body Only;Intermediate;8.0;https://www.youtube.com/watch?v=ekAXPCphKXQ&pp=ygUKQm90dG9tcyBVcA%3D%3D
Spider crawl;The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.;Strength;Abdominals;Body Only;Intermediate;9.3;https://www.youtube.com/watch?v=2Jczv6yuV_Y&pp=ygUMU3BpZGVyIGNyYXds
Cocoons;"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rectus abdominis or ""six-pack"" muscles in particular. It involves bringing your knees to your chest and your arms from overhead to center. It can be performed for time or reps as part of the ab-focused portion of any workout.";Strength;Abdominals;Body Only;Intermediate;9.3;https://www.youtube.com/watch?v=p_GnJTl2HqI&pp=ygUHQ29jb29ucw%3D%3D
Cross-Body Crunch;"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps as part of the ab-focused portion of any workout.";Strength;Abdominals;Body Only;Intermediate;9.2;https://www.youtube.com/watch?v=iKtbk1M_TP8&pp=ygURQ3Jvc3MtQm9keSBDcnVuY2g%3D
Elbow-to-knee crunch;"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps as part of the ab-focused portion of any workout.";Strength;Abdominals;Body Only;Intermediate;9.1;https://www.youtube.com/watch?v=FcjwuLMdGyM&pp=ygUURWxib3ctdG8ta25lZSBjcnVuY2g%3D
Decline Crunch;The decline crunch is an effective core exercise targeting the rectus abdominis.;Strength;Abdominals;Body Only;Intermediate;9.1;https://www.youtube.com/watch?v=Pbfj9xXFpm0&pp=ygUORGVjbGluZSBDcnVuY2g%3D
Hanging toes-to-bar;The hanging toes-to-bar is an advanced abdominal exercise in which the lifter touches their feet to a pull-up bar. There are many ways to perform this movement (strict or swinging, arms completely straight or slightly bent, legs straight or bent) each providing unique benefits and challenges. Initially, it may be a difficult move to do for a single rep, but once you build the requisite core, lat, and shoulder strength, it can be performed for higher reps.;Strength;Abdominals;Body Only;Intermediate;9.1;https://www.youtube.com/watch?v=S2QVHl6DoNo&pp=ygUTSGFuZ2luZyB0b2VzLXRvLWJhcg%3D%3D
Hanging Oblique Knee Raise;The hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or вЂњsix-packвЂќ muscles, and the oblique muscles. It can be performed hanging from a bar, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulder, you can also perform them hanging with a neutral grip (palms facing one another);Strength;Abdominals;Body Only;Intermediate;9.0;https://www.youtube.com/watch?v=L1rt7qr5LCk&pp=ygUaSGFuZ2luZyBPYmxpcXVlIEtuZWUgUmFpc2U%3D
Gorilla Chin/Crunch;The Gorilla Chin/Crunch exercise is a combination of a chin-up and a crunch that targets multiple muscle groups simultaneously. To perform the exercise, grip a pull-up bar with palms facing toward the body and hands shoulder-width apart. Lift your legs up so that theyвЂ™re parallel to the ground, and as you pull yourself up towards the bar, crunch your knees towards your chest. Lower yourself back down and repeat for desired number of reps. This exercise helps build upper body and core strength.;Strength;Abdominals;Body Only;Beginner;9.0;https://www.youtube.com/watch?v=4cXIO4_HGsw&pp=ygUTR29yaWxsYSBDaGluL0NydW5jaA%3D%3D
Hanging leg raise;The hanging leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Instead of resting your forearms on the pads of a captain's chair, you perform these hanging from a bar. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.;Strength;Abdominals;Body Only;Intermediate;9.0;https://www.youtube.com/watch?v=Pr1ieGZ5atk&pp=ygURSGFuZ2luZyBsZWcgcmFpc2U%3D
Mountain climber;The mountain climber is a popular bodyweight exercise targeting the muscles of the core, as well as the shoulders, hips, and cardiovascular system. It involves lifting one knee to the chest at a time from a straight-arm plank position. It can be performed for time or reps as part of a dynamic warm-up, for bodyweight cardio or conditioning, or as no-equipment dynamic core training.;Plyometrics;Abdominals;Body Only;Intermediate;8.2;https://www.youtube.com/watch?v=nmwgirgXLYM&pp=ygUQTW91bnRhaW4gY2xpbWJlcg%3D%3D
Ab bicycle;"The ab bicycle is a bodyweight movement that targets the muscles of the abs, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps in the ab-focused portion of any workout.";Strength;Abdominals;Body Only;Intermediate;8.9;https://www.youtube.com/watch?v=9FGilxCbdz8&pp=ygUKQWIgYmljeWNsZQ%3D%3D
3/4 sit-up;The 3/4 sit-up is a bodyweight exercise focused on the muscles of the core. It is similar to a sit-up, but stops short of the top position. This keeps constant tension on the abs, making it more difficult than traditional sit-ups. It can be performed for time or for reps, with the feet anchored or free, as part of the ab-focused portion of any workout.;Strength;Abdominals;Body Only;Intermediate;8.8;https://www.youtube.com/watch?v=nxFgeTpBP6s&pp=ygUKMy80IHNpdC11cA%3D%3D
Reverse crunch;The reverse crunch is a popular exercise targeting the abdominals, particularly the lower half. ItвЂ™s easy to perform on either the floor or a flat bench. Many lifters think of this as a companion to the crunch, which targets the upper abdominals more than the lower.;Strength;Abdominals;Body Only;Intermediate;8.8;https://www.youtube.com/watch?v=gAyTBB4lm3I&pp=ygUOUmV2ZXJzZSBjcnVuY2g%3D
Crunches;"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.";Strength;Abdominals;Body Only;Intermediate;8.8;https://www.youtube.com/watch?v=Xyd_fa5zoEU&pp=ygUIQ3J1bmNoZXM%3D
Dead bug reach;The dead bug reach is an exercise for strengthening the core in which you alternate lowering your opposing arm and leg simultaneously, controlling the movement with the abdominal muscles. It can be part of a dynamic warm-up to activate the core for other athletics or lifting, or be performed in a circuit or on its own in the ab-focused portion of any workout.;Strength;Abdominals;Body Only;Intermediate;8.8;https://www.youtube.com/watch?v=c6pHx4UXb0c&pp=ygUORGVhZCBidWcgcmVhY2g%3D
Crunch - Hands Overhead;The Crunch - Hands Overhead exercise is a core workout that involves lying flat on your back with your arms extended overhead, then lifting your upper body towards your knees while simultaneously reaching your arms towards your feet. This movement engages your abdominals, specifically the rectus abdominis, while also activating the hip flexors and lower back muscles. It can be modified for beginners by simply lifting the head and shoulders off the ground, and for more advanced individuals by using weights or adding a twist to the movement.;Strength;Abdominals;Body Only;Beginner;8.7;https://www.youtube.com/watch?v=bXzT0s42UJE&pp=ygUXQ3J1bmNoIC0gSGFuZHMgT3ZlcmhlYWQ%3D
V-up;"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.";Strength;Abdominals;Body Only;Intermediate;8.6;https://www.youtube.com/watch?v=iP2fjvG0g3w&pp=ygUEVi11cA%3D%3D
Stomach Vacuum;The Stomach Vacuum exercise, also known as the Abdominal Pull-in or Belly Button Pull-in, targets the transverse abdominis muscle, which is responsible for maintaining proper posture and providing core stability. To perform this exercise, stand straight with your hands on your hips, and exhale all the air from your lungs. Then, suck your belly button towards your spine while holding your breath, and hold the contraction for 15-20 seconds before slowly releasing and taking a deep breath. This exercise can be performed daily and is a great way to improve posture and strengthen the core muscles.;Stretching;Abdominals;Body Only;Beginner;8.2;https://www.youtube.com/watch?v=wiHMum-4nHU&pp=ygUOU3RvbWFjaCBWYWN1dW0%3D
Russian twist;The Russian twist is an exercise targeting the abdominals and the obliques. Beginning from a position that resembles stopping midway through a sit-up, it involves twisting side to side. It can be performed with body weight alone or while holding a weight plate or other object. It is performed by alternating sides with each rep and can be done for time or for a specific number of reps as part of the ab-focused portion of any workout.;Strength;Abdominals;Body Only;Intermediate;8.5;https://www.youtube.com/watch?v=wkD8rjkodUI&pp=ygUNUnVzc2lhbiB0d2lzdA%3D%3D
Flat Bench Lying Leg Raise;The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or вЂњsix-packвЂќ muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.;Strength;Abdominals;Body Only;Intermediate;8.2;https://www.youtube.com/watch?v=BOlr-OlMxQE&pp=ygUaRmxhdCBCZW5jaCBMeWluZyBMZWcgUmFpc2U%3D
Knees tucked crunch;"The knees tucked crunch is a core exercise that involves performing a crunch while keeping the knees bent in a 90-degree position. It primarily targets the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps as part of any abs-focused circuit or workout.";Strength;Abdominals;Body Only;Intermediate;8.4;https://www.youtube.com/watch?v=MchxiuKaquY&pp=ygUTS25lZXMgdHVja2VkIGNydW5jaA%3D%3D
Butt-Ups;Butt-Ups are a simple yet effective lower body exercise that target the glutes and hamstrings. To perform a Butt-Up, lay on your back with your knees bent and feet on the ground. Raise your hips up towards the ceiling, squeezing your glutes at the top of the movement, then lower back down to the starting position. This exercise can be done with or without weights and is great for building strength and toning the buttocks.;Strength;Abdominals;Body Only;Beginner;8.4;https://www.youtube.com/watch?v=Kt9v70yZ82g&pp=ygUIQnV0dC1VcHM%3D
Feet-elevated oblique crunch;"The feet-elevated oblique crunch is a variation on the crunch exercise that targets the obliques as well as the rectus abdominis or ""six-pack"" muscles. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs.";Strength;Abdominals;Body Only;Intermediate;8.4;https://www.youtube.com/watch?v=vmD9UXveazQ&pp=ygUcRmVldC1lbGV2YXRlZCBvYmxpcXVlIGNydW5jaA%3D%3D
Bent-knee reverse crunch;"The bent-knee reverse crunch is a popular bodyweight core exercise. It targets the lower portion of the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps as part of any ab-focused workout.";Strength;Abdominals;Body Only;Intermediate;8.2;https://www.youtube.com/watch?v=90RHU-EzJ1k&pp=ygUYQmVudC1rbmVlIHJldmVyc2UgY3J1bmNo
